Tên C?p Ð?	??ã??°ìº	??éé??é??ê?ú	Phân lo?i c?p d?	Mã thu?c tính option	giá tr? nh? nh?t	Giá tr? cao nh?t	²??ý2ì?éA?à	²??ý2ì?´ú?à	²??ý3ì?éA?à	²??ý3ì?´ú?à	Tên thu?c tính option	t? l? th?p nh?t	t? l? cao nh?t	¿??ì	???á	??Á´	?Oì?	??´?	Íã¿?	?ÔÍú	??ì?	Â?
Qu?c vuong	1		6	166	150	180	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Quân Vuong	1		7	166	180	210	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Bá Vuong	1		8	166	210	240	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Hoàng Ð?	1		9	166	240	270	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Ng?c Ð?	1		10	166	270	300	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
T?c d? cao	1		2	115	10	10	-1	-1	0	0	Tang t?c d? công kích	5000000	5000000	0	0	0	0	0	0	0	0	0
C?p t?c	1		5	115	20	20	-1	-1	0	0	Tang t?c d? công kích	5000000	5000000	0	0	0	0	0	0	0	0	0
T?c d?	1		9	115	261	261	-1	-1	0	0	Tang t?c d? công kích	5000000	5000000	0	0	0	0	0	0	0	0	0
Ðâm xuyên	1		10	58	1	1	-1	-1	0	0	B? qua phòng th? d?i phuong	10000	10000	0	0	0	0	0	0	0	0	0
Vinh h?ng	1		10	43	1	1	-1	-1	0	0	Không th? phá h?y	100	100	100	0	0	100	100	100	100	0	0
Ch?c ch?n	1		1	150	20	30	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Xo c?ng	1		2	150	30	40	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
S?t thép	1		3	150	40	50	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Kiên c? 	1		4	150	50	60	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Kiên cu?ng	1		5	150	60	70	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Thánh thi?n	1		6	150	70	85	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Thánh thi?n	1		7	150	85	110	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Chúc phúc	1		8	150	110	150	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Chúc phúc	1		9	150	150	200	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
Th?n H?u	1		10	150	200	250	-1	-1	0	0	Tang phòng th? d?i da	0	0	0	0	0	0	0	0	0	0	0
T?c d? cao	1		2	111	10	15	-1	-1	0	0	Tang t?c d? ch?y và di b? 	0	0	0	0	0	200000	0	0	0	0	0
Ð?ng v?i	1		4	111	15	20	-1	-1	0	0	Tang t?c d? ch?y và di b? 	0	0	0	0	0	200000	0	0	0	0	0
Nhanh chóng	1		6	111	20	25	-1	-1	0	0	Tang t?c d? ch?y và di b? 	0	0	0	0	0	200000	0	0	0	0	0
Bay lu?n	1		8	111	25	30	-1	-1	0	0	Tang t?c d? ch?y và di b? 	0	0	0	0	0	200000	0	0	0	0	0
Khoa Ph? 	1		10	111	30	40	-1	-1	0	0	Tang t?c d? ch?y và di b? 	0	0	0	0	0	200000	0	0	0	0	0
Gai nh?n	1		3	117	1	10	-1	-1	0	0	Ph?n dòn V?t lý 	0	0	10000	0	0	0	0	0	0	0	0
Ðâm ngã 	1		9	117	10	20	-1	-1	0	0	Ph?n dòn V?t lý 	0	0	10000	0	0	0	0	0	0	0	0
Ngày bình thu?ng	1		3	113	20	20	-1	-1	0	0	Ph?c h?i tr?ng thái công kích	0	0	25000	0	0	0	0	0	0	0	0
?n d?nh	1		6	113	30	30	-1	-1	0	0	Ph?c h?i tr?ng thái công kích	0	0	25000	0	0	0	0	0	0	0	0
Cân d?i	1		9	113	40	40	-1	-1	0	0	Ph?c h?i tr?ng thái công kích	0	0	25000	0	0	0	0	0	0	0	0
ánh sáng	1		1	112	1	1	-1	-1	0	0	Tang ph?m vi sát thuong	0	0	0	0	0	0	0	0	0	0	0
M?t trang	1		2	112	2	2	-1	-1	0	0	Tang ph?m vi sát thuong	0	0	0	0	0	0	0	0	0	0	0
Phát sáng	1		3	112	3	3	-1	-1	0	0	Tang ph?m vi sát thuong	0	0	0	0	0	0	0	0	0	0	0
Nh?p nháy	1		4	112	4	4	-1	-1	0	0	Tang ph?m vi sát thuong	0	0	0	0	0	0	0	0	0	0	0
ánh sáng chói l?i	1		5	112	5	5	-1	-1	0	0	Tang ph?m vi sát thuong	0	0	0	0	0	0	0	0	0	0	0
M?t tr?i	1		6	112	6	6	-1	-1	0	0	Tang ph?m vi sát thuong	0	0	0	0	0	0	0	0	0	0	0
Thái Su 	1		5	139	1	1	-1	-1	0	0	Tang k? nang	2	0	0	1	0	0	0	0	0	0	0
Tông su 	1		10	139	2	2	-1	-1	0	0	Tang k? nang	2	0	0	1	0	0	0	0	0	0	0
Lang kính	1		1	114	1	2	-1	-1	0	0	tang phòng th? 	0	0	0	0	10000	0	0	0	0	0	0
C?u v?ng	1		2	114	2	4	-1	-1	0	0	tang phòng th? 	0	0	0	0	9000	0	0	0	0	0	0
b?y màu	1		3	114	4	6	-1	-1	0	0	tang phòng th? 	0	0	0	0	8000	0	0	0	0	0	0
Hào quang	1		4	114	6	8	-1	-1	0	0	tang phòng th? 	0	0	0	0	7000	0	0	0	0	0	0
ánh ch?p	1		5	114	8	10	-1	-1	0	0	tang phòng th? 	0	0	0	0	6000	0	0	0	0	0	0
C?u v?ng	1		6	114	10	12	-1	-1	0	0	tang phòng th? 	0	0	0	0	5000	0	0	0	0	0	0
C?u v?ng	1		7	114	12	14	-1	-1	0	0	tang phòng th? 	0	0	0	0	4000	0	0	0	0	0	0
C?u v?ng	1		8	114	14	16	-1	-1	0	0	tang phòng th? 	0	0	0	0	3000	0	0	0	0	0	0
Toàn th?ch 	1		9	114	16	18	-1	-1	0	0	tang phòng th? 	0	0	0	0	2000	0	0	0	0	0	0
C?u v?ng	1		10	114	18	20	-1	-1	0	0	tang phòng th? 	0	0	0	0	1000	0	0	0	0	0	0
Hút máu	1		2	136	1	3	-1	-1	0	0	hút Sinh l?c	1200	1200	0	0	0	0	0	0	0	0	0
Con mu?i	1		5	136	3	5	-1	-1	0	0	hút Sinh l?c	1200	1200	0	0	0	0	0	0	0	0	0
Con d?a	1		7	136	5	7	-1	-1	0	0	hút Sinh l?c	1200	1200	0	0	0	0	0	0	0	0	0
Hoa an th?t ngu?i	1		10	136	7	10	-1	-1	0	0	hút Sinh l?c	1200	1200	0	0	0	0	0	0	0	0	0
Con doi	1		2	137	1	3	-1	-1	0	0	hút N?i l?c	800	800	0	0	0	0	0	0	0	0	0
Qu? h?n	1		5	137	3	5	-1	-1	0	0	hút N?i l?c	700	700	0	0	0	0	0	0	0	0	0
Châu ch?u	1		7	137	5	7	-1	-1	0	0	hút N?i l?c	600	600	0	0	0	0	0	0	0	0	0
Châu ch?u	1		10	137	7	10	-1	-1	0	0	hút N?i l?c	600	600	0	0	0	0	0	0	0	0	0
Sinh l?c	1		1	85	5	20	-1	-1	0	0	Tang Sinh l?c 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Tru?ng th? 	1		2	85	20	40	-1	-1	0	0	Tang Sinh l?c 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Tru?ng th? 	1		3	85	40	60	-1	-1	0	0	Tang Sinh l?c 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Tru?ng sinh	1		4	85	60	80	-1	-1	0	0	Tang Sinh l?c 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Tru?ng sinh	1		5	85	80	100	-1	-1	0	0	Tang Sinh l?c 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Sinh d?ng	1		6	85	100	120	-1	-1	0	0	Tang Sinh l?c 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Sinh d?ng	1		7	85	120	140	-1	-1	0	0	Tang Sinh l?c 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Sinh linh	1		8	85	140	160	-1	-1	0	0	Tang Sinh l?c 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
Sinh linh	1		9	85	160	180	-1	-1	0	0	Tang Sinh l?c 	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0
Tru?ng th? 	1		10	85	180	200	-1	-1	0	0	Tang Sinh l?c 	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
N?i l?c	1		1	89	5	20	-1	-1	0	0	Tang N?i l?c 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
S?c s?ng	1		2	89	20	40	-1	-1	0	0	Tang N?i l?c 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
S?c s?ng	1		3	89	40	60	-1	-1	0	0	Tang N?i l?c 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Th?nh vu?ng	1		4	89	60	80	-1	-1	0	0	Tang N?i l?c 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Th?nh vu?ng	1		5	89	80	100	-1	-1	0	0	Tang N?i l?c 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Thâm h?u	1		6	89	100	120	-1	-1	0	0	Tang N?i l?c 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Thâm h?u	1		7	89	120	140	-1	-1	0	0	Tang N?i l?c 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
Vô cùng	1		8	89	140	160	-1	-1	0	0	Tang N?i l?c 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
Vô cùng	1		9	89	160	180	-1	-1	0	0	Tang N?i l?c 	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	0
Vô t?n	1		10	89	180	200	-1	-1	0	0	Tang N?i l?c 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
Lâu dài	1		1	93	5	20	-1	-1	0	0	Tang th? l?c 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Lâu dài	1		2	93	20	40	-1	-1	0	0	Tang th? l?c 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Lâu dài	1		3	93	40	60	-1	-1	0	0	Tang th? l?c 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Lâu dài	1		4	93	60	80	-1	-1	0	0	Tang th? l?c 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Không ng?ng	1		5	93	80	100	-1	-1	0	0	Tang th? l?c 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Không ng?ng	1		6	93	100	120	-1	-1	0	0	Tang th? l?c 	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
Không ng?ng	1		7	93	120	140	-1	-1	0	0	Tang th? l?c 	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
Không ng?ng	1		8	93	140	160	-1	-1	0	0	Tang th? l?c 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
Sâu th?m	1		9	93	160	180	-1	-1	0	0	Tang th? l?c 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
Sâu th?m	1		10	93	180	200	-1	-1	0	0	Tang th? l?c 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0
Êm d?u	1		1	88	1	1	-1	-1	0	0	Tang t?c d? h?i ph?c Sinh l?c	0	0	2000	0	0	2000	2000	2000	2000	0	0
Êm d?u	1		3	88	2	2	-1	-1	0	0	Tang t?c d? h?i ph?c Sinh l?c	0	0	1800	0	0	1800	1800	1800	1800	0	0
Nhu mì 	1		5	88	3	3	-1	-1	0	0	Tang t?c d? h?i ph?c Sinh l?c	0	0	1500	0	0	1500	1500	1500	1500	0	0
Ph?c sinh	1		6	88	4	4	-1	-1	0	0	Tang t?c d? h?i ph?c Sinh l?c	0	0	1000	0	0	1000	1000	1000	1000	0	0
 t?nh l?i	1		8	88	5	5	-1	-1	0	0	Tang t?c d? h?i ph?c Sinh l?c	0	0	500	0	0	500	500	500	500	0	0
ph?c sinh	1		10	88	6	6	-1	-1	0	0	Tang t?c d? h?i ph?c Sinh l?c	0	0	100	0	0	100	100	100	100	0	0
Bi?n r?ng	1		2	92	1	1	-1	-1	0	0	Tang t?c d? h?i ph?c N?i l?c	0	0	0	0	0	0	0	0	0	3500	0
Sóng gió 	1		5	92	2	2	-1	-1	0	0	Tang t?c d? h?i ph?c N?i l?c	0	0	0	0	0	0	0	0	0	3000	0
Mua to	1		7	92	3	3	-1	-1	0	0	Tang t?c d? h?i ph?c N?i l?c	0	0	0	0	0	0	0	0	0	2500	0
Làn sóng	1		10	92	4	4	-1	-1	0	0	Tang t?c d? h?i ph?c N?i l?c	0	0	0	0	0	0	0	0	0	2000	0
D?i dào	1		1	96	1	1	-1	-1	0	0	Tang t?c d? h?i ph?c Th? l?c	0	0	0	30000	30000	0	0	0	0	0	0
M?m d?o	1		3	96	3	3	-1	-1	0	0	Tang t?c d? h?i ph?c Th? l?c	0	0	0	30000	30000	0	0	0	0	0	0
Tranh th? 	1		5	96	5	5	-1	-1	0	0	Tang t?c d? h?i ph?c Th? l?c	0	0	0	30000	30000	0	0	0	0	0	0
Tranh th? 	1		6	96	7	7	-1	-1	0	0	Tang t?c d? h?i ph?c Th? l?c	0	0	0	30000	30000	0	0	0	0	0	0
Tranh th? 	1		7	96	9	9	-1	-1	0	0	Tang t?c d? h?i ph?c Th? l?c	0	0	0	30000	30000	0	0	0	0	0	0
S?c m?nh	0	0	1	97	1	2	-1	-1	0	0	tang s?c m?nh	0	0	0	100000	100000	0	0	0	0	100000	0
S?c m?nh	0	0	2	97	3	4	-1	-1	0	0	tang s?c m?nh	0	0	0	90000	90000	0	0	0	0	90000	0
Uy l?c	0	0	3	97	5	6	-1	-1	0	0	tang s?c m?nh	0	0	0	80000	80000	0	0	0	0	80000	0
Uy l?c	0	0	4	97	7	8	-1	-1	0	0	tang s?c m?nh	0	0	0	70000	70000	0	0	0	0	70000	0
S?c m?nh	0	0	5	97	9	10	-1	-1	0	0	tang s?c m?nh	0	0	0	60000	60000	0	0	0	0	60000	0
S?c m?nh	0	0	6	97	11	12	-1	-1	0	0	tang s?c m?nh	0	0	0	50000	50000	0	0	0	0	50000	0
Trâu r?ng	0	0	7	97	13	14	-1	-1	0	0	tang s?c m?nh	0	0	0	40000	40000	0	0	0	0	40000	0
Ngu?i kh?ng l? 	0	0	8	97	15	16	-1	-1	0	0	tang s?c m?nh	0	0	0	30000	30000	0	0	0	0	30000	0
Son Th?n 	0	0	9	97	17	18	-1	-1	0	0	tang s?c m?nh	0	0	0	20000	20000	0	0	0	0	20000	0
C?ng Công	0	0	10	97	19	20	-1	-1	0	0	tang s?c m?nh	0	0	0	10000	10000	0	0	0	0	10000	0
Dao nh?n	0	0	1	121	1	5	-1	-1	0	0	tang sát thuong V?t lý 	100000	100000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	2	121	5	10	-1	-1	0	0	tang sát thuong V?t lý 	90000	90000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	3	121	10	15	-1	-1	0	0	tang sát thuong V?t lý 	90000	90000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	4	121	15	20	-1	-1	0	0	tang sát thuong V?t lý 	80000	80000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	5	121	20	25	-1	-1	0	0	tang sát thuong V?t lý 	70000	70000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	6	121	25	30	-1	-1	0	0	tang sát thuong V?t lý 	60000	60000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	7	121	30	35	-1	-1	0	0	tang sát thuong V?t lý 	40000	40000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	8	121	35	40	-1	-1	0	0	tang sát thuong V?t lý 	30000	30000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	9	121	40	45	-1	-1	0	0	tang sát thuong V?t lý 	10000	10000	0	0	0	0	0	0	0	0	0
Dao nh?n	0	0	10	121	45	50	-1	-1	0	0	tang sát thuong V?t lý 	5000	5000	0	0	0	0	0	0	0	0	0
Nu?c d?c 	0	1	1	125	1	5	-1	-1	0	0	Tang sát Ð?c sát	100000	100000	0	0	0	0	0	0	0	0	0
Ð?c Xà 	0	1	2	125	5	10	-1	-1	0	0	Tang sát Ð?c sát	90000	90000	0	0	0	0	0	0	0	0	0
C? khô 	0	1	3	125	10	15	-1	-1	0	0	Tang sát Ð?c sát	90000	90000	0	0	0	0	0	0	0	0	0
Ôn d?ch	0	1	4	125	15	20	-1	-1	0	0	Tang sát Ð?c sát	80000	80000	0	0	0	0	0	0	0	0	0
Oán h?n	0	1	5	125	20	25	-1	-1	0	0	Tang sát Ð?c sát	70000	70000	0	0	0	0	0	0	0	0	0
Truy?n nhi?m	0	1	6	125	25	30	-1	-1	0	0	Tang sát Ð?c sát	60000	60000	0	0	0	0	0	0	0	0	0
Th?i r?a	0	1	7	125	30	35	-1	-1	0	0	Tang sát Ð?c sát	40000	40000	0	0	0	0	0	0	0	0	0
K?ch Ð?c	0	1	8	125	35	40	-1	-1	0	0	Tang sát Ð?c sát	30000	30000	0	0	0	0	0	0	0	0	0
Chí t? 	0	1	9	125	40	45	-1	-1	0	0	Tang sát Ð?c sát	10000	10000	0	0	0	0	0	0	0	0	0
Ðo?n h?n	0	1	10	125	45	50	-1	-1	0	0	Tang sát Ð?c sát	5000	5000	0	0	0	0	0	0	0	0	0
L?nh giá 	0	2	1	123	1	10	-1	-1	0	0	Tang sát Bang sát	100000	100000	0	0	0	0	0	0	0	0	0
L?nh giá 	0	2	2	123	10	20	-1	-1	0	0	Tang sát Bang sát	90000	90000	0	0	0	0	0	0	0	0	0
L?nh giá 	0	2	3	123	20	30	-1	-1	0	0	Tang sát Bang sát	90000	90000	0	0	0	0	0	0	0	0	0
dóng bang 	0	2	4	123	30	40	-1	-1	0	0	Tang sát Bang sát	80000	80000	0	0	0	0	0	0	0	0	0
Bang tuy?t 	0	2	5	123	40	50	-1	-1	0	0	Tang sát Bang sát	70000	70000	0	0	0	0	0	0	0	0	0
Hàn Ðông	0	2	6	123	50	60	-1	-1	0	0	Tang sát Bang sát	60000	60000	0	0	0	0	0	0	0	0	0
L?nh bu?t	0	2	7	123	60	70	-1	-1	0	0	Tang sát Bang sát	40000	40000	0	0	0	0	0	0	0	0	0
L?nh bu?t 	0	2	8	123	70	80	-1	-1	0	0	Tang sát Bang sát	30000	30000	0	0	0	0	0	0	0	0	0
Bang c?c	0	2	9	123	80	90	-1	-1	0	0	Tang sát Bang sát	10000	10000	0	0	0	0	0	0	0	0	0
Chuyên Húc	0	2	10	123	90	100	-1	-1	0	0	Tang sát Bang sát	5000	5000	0	0	0	0	0	0	0	0	0
Ð?a Di?m h?a	0	3	1	122	1	10	-1	-1	0	0	Tang Ho? sát	100000	100000	0	0	0	0	0	0	0	0	0
Hào quang	0	3	2	122	10	20	-1	-1	0	0	Tang Ho? sát	90000	90000	0	0	0	0	0	0	0	0	0
Nhi?t tình	0	3	3	122	20	30	-1	-1	0	0	Tang Ho? sát	90000	90000	0	0	0	0	0	0	0	0	0
Tình c?m mãnh li?t	0	3	4	122	30	40	-1	-1	0	0	Tang Ho? sát	80000	80000	0	0	0	0	0	0	0	0	0
d?t 	0	3	5	122	40	50	-1	-1	0	0	Tang Ho? sát	70000	70000	0	0	0	0	0	0	0	0	0
Thiêu d?t	0	3	6	122	50	60	-1	-1	0	0	Tang Ho? sát	60000	60000	0	0	0	0	0	0	0	0	0
L?a d? 	0	3	7	122	60	70	-1	-1	0	0	Tang Ho? sát	40000	40000	0	0	0	0	0	0	0	0	0
Xích Di?m	0	3	8	122	70	80	-1	-1	0	0	Tang Ho? sát	30000	30000	0	0	0	0	0	0	0	0	0
L?a d?	0	3	9	122	80	90	-1	-1	0	0	Tang Ho? sát	10000	10000	0	0	0	0	0	0	0	0	0
Viêm d?	0	3	10	122	90	100	-1	-1	0	0	Tang Ho? sát	5000	5000	0	0	0	0	0	0	0	0	0
Ti?ng s?m	0	4	1	124	1	10	-1	-1	0	0	Tang Lôi sát	100000	100000	0	0	0	0	0	0	0	0	0
Ði?n kích	0	4	2	124	10	20	-1	-1	0	0	Tang Lôi sát	90000	90000	0	0	0	0	0	0	0	0	0
ánh ch?p	0	4	3	124	20	30	-1	-1	0	0	Tang Lôi sát	90000	90000	0	0	0	0	0	0	0	0	0
Trung hòa di?n	0	4	4	124	30	40	-1	-1	0	0	Tang Lôi sát	80000	80000	0	0	0	0	0	0	0	0	0
ánh ch?p	0	4	5	124	40	50	-1	-1	0	0	Tang Lôi sát	70000	70000	0	0	0	0	0	0	0	0	0
ánh ch?p	0	4	6	124	50	60	-1	-1	0	0	Tang Lôi sát	60000	60000	0	0	0	0	0	0	0	0	0
S?m sét	0	4	7	124	60	70	-1	-1	0	0	Tang Lôi sát	40000	40000	0	0	0	0	0	0	0	0	0
Thiên Lôi 	0	4	8	124	70	80	-1	-1	0	0	Tang Lôi sát	30000	30000	0	0	0	0	0	0	0	0	0
Lôi Công	0	4	9	124	80	90	-1	-1	0	0	Tang Lôi sát	10000	10000	0	0	0	0	0	0	0	0	0
Lôi Th?n 	0	4	10	124	90	100	-1	-1	0	0	Tang Lôi sát	5000	5000	0	0	0	0	0	0	0	0	0
Kim Tinh 	0	0	3	134	2	4	-1	-1	0	0	Chuy?n hóa sát thuong v?t lý thành N?i l?c	0	0	50000	0	0	50000	50000	50000	50000	0	0
Kim Phách	0	0	6	134	4	7	-1	-1	0	0	Chuy?n hóa sát thuong v?t lý thành N?i l?c	0	0	50000	0	0	50000	50000	50000	50000	0	0
Kim Th?n 	0	0	10	134	7	10	-1	-1	0	0	Chuy?n hóa sát thuong v?t lý thành N?i l?c	0	0	50000	0	0	50000	50000	50000	50000	0	0
Vô hình	0	3	2	104	1	5	-1	-1	0	0	B? qua sát thuong v?t lý 	0	0	10000	0	0	10000	10000	10000	10000	0	0
Huy?n nh? 	0	3	4	104	5	10	-1	-1	0	0	B? qua sát thuong v?t lý 	0	0	9000	0	0	9000	9000	9000	9000	0	0
Th?p thoáng	0	3	6	104	10	15	-1	-1	0	0	B? qua sát thuong v?t lý 	0	0	8000	0	0	8000	8000	8000	8000	0	0
Hu ?o	0	3	8	104	15	20	-1	-1	0	0	B? qua sát thuong v?t lý 	0	0	7000	0	0	7000	7000	7000	7000	0	0
Linh h?n	0	3	10	104	20	25	-1	-1	0	0	B? qua sát thuong v?t lý 	0	0	6000	0	0	6000	6000	6000	6000	0	0
Bích L?c 	0	0	2	101	1	5	-1	-1	0	0	tang kháng d?c	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
L?c Tùng Th?ch	0	0	4	101	5	10	-1	-1	0	0	tang kháng d?c	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Bích Ng?c 	0	0	6	101	10	15	-1	-1	0	0	tang kháng d?c	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
L?c B?o Th?ch	0	0	8	101	15	20	-1	-1	0	0	tang kháng d?c	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Ph? thúy 	0	0	10	101	20	25	-1	-1	0	0	tang kháng d?c	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
C? xanh	0	4	2	105	1	5	-1	-1	0	0	Tang kháng bang	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Hàn Mai	0	4	4	105	5	10	-1	-1	0	0	Tang kháng bang	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Cô Tùng	0	4	6	105	10	15	-1	-1	0	0	Tang kháng bang	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Ng?o Trúc	0	4	8	105	15	20	-1	-1	0	0	Tang kháng bang	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Lam B?o Th?ch	0	4	10	105	20	25	-1	-1	0	0	Tang kháng bang	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Thâm h?u	0	2	2	102	1	5	-1	-1	0	0	tang kháng H?a	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Vu Hoa Th?ch	0	2	4	102	5	10	-1	-1	0	0	tang kháng H?a	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Bão l?a	0	2	6	102	10	15	-1	-1	0	0	tang kháng H?a	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Bông v?i d? 	0	2	8	102	15	20	-1	-1	0	0	tang kháng H?a	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
H?ng B?o Th?ch	0	2	10	102	20	25	-1	-1	0	0	tang kháng H?a	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
H? Phách 	0	1	1	103	1	5	-1	-1	0	0	Tang kháng Lôi	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
