[Normal]Item: ËéÔÂµ¶(0,0,1,1,0,10), unbind = 0, bind = 0
[Normal]Item: °ÔÍ?ïÚ(0,0,1,0,2,10), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,1,7), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,3,7), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,0,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,1,7), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,0,10), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ×æÄ¸Â?½äÖ¸(0,0,3,0,1,6), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,1,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,1,10), unbind = 0, bind = 0
[Normal]Item: ½?ïÚ(0,0,1,0,2,9), unbind = 0, bind = 0
[Normal]Item: ×Ï??Ö®Î?ÏàÖéÁ´(0,1,1824,1,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?±(0,1,1825,0,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉÏ½ä(0,1,1826,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà»¤Íó(0,1,1827,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü´ø(0,1,1828,0,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàôÂôÄ(0,1,1829,0,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà²øÊÖ(0,1,1830,6,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?¬(0,1,1831,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü×¹(0,1,1832,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÏÂ½ä(0,1,1833,0,0,10), unbind = 0, bind = 1200
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½?µñÁú½ä(0,1,493,0,3,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×ÓñÇ¬À¤Åå(0,1,494,1,4,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½??â·ï½ä(0,1,495,0,0,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®ôä´äÓñÏîÈ¦(0,1,496,1,2,10), unbind = 0, bind = 100
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ºûµûïÚ(0,0,1,0,2,8), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ¶¾»úµ¶(0,0,1,1,0,9), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,2,10), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,4,10), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,4,10), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,2,10), unbind = 0, bind = 0
[Normal]Item: ¶¾»úµ¶(0,0,1,1,0,9), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: ºûµûïÚ(0,0,1,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®ôä´äÓñÏîÈ¦(0,1,496,1,2,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½??â·ï½ä(0,1,495,0,0,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×ÓñÇ¬À¤Åå(0,1,494,1,4,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½?µñÁú½ä(0,1,493,0,3,10), unbind = 0, bind = 100
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: ×Ï??Ö®Î?ÏàÏÂ½ä(0,1,1833,0,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü×¹(0,1,1832,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?¬(0,1,1831,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà²øÊÖ(0,1,1830,6,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàôÂôÄ(0,1,1829,0,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü´ø(0,1,1828,0,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà»¤Íó(0,1,1827,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉÏ½ä(0,1,1826,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?±(0,1,1825,0,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÖéÁ´(0,1,1824,1,2,10), unbind = 0, bind = 1200
[Normal]Item: ½?ïÚ(0,0,1,0,2,9), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,1,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,1,10), unbind = 0, bind = 0
[Normal]Item: ×æÄ¸Â?½äÖ¸(0,0,3,0,1,6), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ×æÄ¸Â?½äÖ¸(0,0,3,0,1,6), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,1,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,1,10), unbind = 0, bind = 0
[Normal]Item: ½?ïÚ(0,0,1,0,2,9), unbind = 0, bind = 0
[Normal]Item: ×Ï??Ö®Î?ÏàÖéÁ´(0,1,1824,1,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?±(0,1,1825,0,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉÏ½ä(0,1,1826,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà»¤Íó(0,1,1827,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü´ø(0,1,1828,0,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàôÂôÄ(0,1,1829,0,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà²øÊÖ(0,1,1830,6,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?¬(0,1,1831,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü×¹(0,1,1832,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÏÂ½ä(0,1,1833,0,0,10), unbind = 0, bind = 1200
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½?µñÁú½ä(0,1,493,0,3,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×ÓñÇ¬À¤Åå(0,1,494,1,4,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½??â·ï½ä(0,1,495,0,0,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®ôä´äÓñÏîÈ¦(0,1,496,1,2,10), unbind = 0, bind = 100
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ºûµûïÚ(0,0,1,0,2,8), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ¶¾»úµ¶(0,0,1,1,0,9), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,2,10), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,4,10), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,4,10), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,2,10), unbind = 0, bind = 0
[Normal]Item: ¶¾»úµ¶(0,0,1,1,0,9), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: ºûµûïÚ(0,0,1,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®ôä´äÓñÏîÈ¦(0,1,496,1,2,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½??â·ï½ä(0,1,495,0,0,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×ÓñÇ¬À¤Åå(0,1,494,1,4,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½?µñÁú½ä(0,1,493,0,3,10), unbind = 0, bind = 100
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: ×Ï??Ö®Î?ÏàÏÂ½ä(0,1,1833,0,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü×¹(0,1,1832,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?¬(0,1,1831,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà²øÊÖ(0,1,1830,6,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàôÂôÄ(0,1,1829,0,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÑü´ø(0,1,1828,0,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?Ïà»¤Íó(0,1,1827,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉÏ½ä(0,1,1826,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÉ®?±(0,1,1825,0,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®Î?ÏàÖéÁ´(0,1,1824,1,2,10), unbind = 0, bind = 1200
[Normal]Item: ½?ïÚ(0,0,1,0,2,9), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,1,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,1,10), unbind = 0, bind = 0
[Normal]Item: ×æÄ¸Â?½äÖ¸(0,0,3,0,1,6), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,3,7), unbind = 0, bind = 0
[Normal]Item: ÔÂÑÀµ¶(0,0,0,1,2,5), unbind = 0, bind = 0
[Normal]Item: ÆÆ·çµ¶(0,0,0,1,2,6), unbind = 0, bind = 0
[Normal]Item: ÎÚ½?½£(0,0,0,0,1,6), unbind = 0, bind = 0
[Normal]Item: ½?¹¿°ô(0,0,0,2,0,10), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,1,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,0,10), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,4,7), unbind = 0, bind = 0
[Normal]Item: ÇàÁúµ¶(0,0,0,1,0,9), unbind = 0, bind = 0
[Normal]Item: Æß³ß½£(0,0,0,0,1,8), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,1,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ??êª(0,0,0,3,1,10), unbind = 0, bind 
